Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
ua Dynamo Kyiv,23,25.5,40.8,6,66,540,6.0,1,1,1,0,0,10,0,0.17,0.17,0.33,0.17,0.33,4.2,4.2,3.1,7.3,0.70,0.52,1.22,0.70,1.22
it Inter,22,29.0,49.0,8,88,720,8.0,9,6,9,0,0,12,2,1.13,0.75,1.87,1.13,1.87,13.3,13.3,9.9,23.2,1.66,1.24,2.90,1.66,2.90
it Juventus,28,27.3,51.5,8,88,720,8.0,11,6,9,2,2,10,0,1.37,0.75,2.12,1.13,1.87,12.5,11.0,8.5,19.5,1.56,1.07,2.63,1.37,2.44
fr Lille,23,26.4,46.4,8,88,720,8.0,8,4,6,2,2,26,0,1.00,0.50,1.50,0.75,1.25,9.3,7.7,4.4,12.1,1.16,0.55,1.71,0.97,1.52
eng Liverpool,28,27.3,62.5,13,143,1170,13.0,28,21,27,1,2,15,0,2.15,1.62,3.77,2.08,3.69,25.7,24.1,18.3,42.4,1.97,1.41,3.38,1.86,3.26
se Malmö,21,28.4,37.5,6,66,540,6.0,1,1,1,0,0,14,1,0.17,0.17,0.33,0.17,0.33,2.0,2.0,1.5,3.5,0.33,0.25,0.59,0.33,0.59
eng Manchester City,26,27.2,60.7,12,132,1110,12.3,28,23,26,2,2,22,1,2.27,1.86,4.14,2.11,3.97,24.1,22.6,17.4,40.0,1.95,1.41,3.36,1.83,3.24
eng Manchester Utd,31,27.2,54.0,8,88,720,8.0,12,11,12,0,0,17,1,1.50,1.37,2.87,1.50,2.87,9.6,9.6,7.1,16.7,1.19,0.89,2.09,1.19,2.09
it Milan,23,26.0,47.0,6,66,540,6.0,5,4,5,0,0,17,1,0.83,0.67,1.50,0.83,1.50,4.6,4.6,2.9,7.5,0.77,0.48,1.25,0.77,1.25
fr Paris S-G,21,27.3,55.0,8,88,720,8.0,15,8,13,2,4,21,0,1.87,1.00,2.87,1.62,2.62,15.2,12.2,10.4,22.6,1.90,1.30,3.21,1.52,2.83
pt Porto,22,26.3,48.0,6,66,540,6.0,4,3,3,1,1,17,3,0.67,0.50,1.17,0.50,1.00,7.2,6.4,4.8,11.3,1.19,0.80,2.00,1.07,1.88
de RB Leipzig,23,25.0,49.2,6,66,540,6.0,15,13,13,2,3,13,1,2.50,2.17,4.67,2.17,4.33,11.2,9.0,7.5,16.5,1.87,1.25,3.12,1.50,2.74
at RB Salzburg,21,22.9,44.1,8,88,720,8.0,10,6,7,3,5,16,0,1.25,0.75,2.00,0.87,1.62,11.1,7.4,4.9,12.3,1.39,0.62,2.00,0.92,1.54
es Real Madrid,25,28.0,51.3,13,143,1230,13.7,28,21,25,3,3,25,0,2.05,1.54,3.59,1.83,3.37,21.5,19.2,15.3,34.5,1.57,1.12,2.69,1.41,2.53
es Sevilla,22,28.9,61.0,6,66,540,6.0,5,3,3,2,2,20,2,0.83,0.50,1.33,0.50,1.00,7.3,5.8,4.2,10.0,1.21,0.70,1.92,0.96,1.66
ua Shakhtar,25,25.2,59.3,6,66,540,6.0,2,2,2,0,0,5,0,0.33,0.33,0.67,0.33,0.67,6.9,6.9,5.9,12.8,1.14,0.98,2.13,1.14,2.13
md Sheriff Tiraspol,19,26.0,29.2,6,66,540,6.0,7,5,7,0,0,13,0,1.17,0.83,2.00,1.17,2.00,3.8,3.8,3.0,6.7,0.63,0.49,1.12,0.63,1.12
pt Sporting CP,27,26.7,41.1,8,88,720,8.0,14,10,12,2,3,21,0,1.75,1.25,3.00,1.50,2.75,10.5,8.2,6.7,14.9,1.32,0.84,2.15,1.03,1.87
es Villarreal,25,28.0,43.1,12,132,1080,12.0,20,16,18,2,2,26,2,1.67,1.33,3.00,1.50,2.83,17.1,15.8,12.9,28.7,1.42,1.07,2.50,1.32,2.39
de Wolfsburg,21,26.1,43.3,6,66,540,6.0,5,4,5,0,0,25,2,0.83,0.67,1.50,0.83,1.50,4.5,4.5,3.4,7.8,0.74,0.56,1.31,0.74,1.31
ch Young Boys,24,25.6,49.8,6,66,540,6.0,7,4,7,0,0,11,0,1.17,0.67,1.83,1.17,1.83,8.1,8.1,5.5,13.6,1.35,0.92,2.27,1.35,2.27
ru Zenit,21,27.9,45.7,6,66,540,6.0,9,6,8,1,2,9,1,1.50,1.00,2.50,1.33,2.33,8.6,7.1,6.2,13.3,1.43,1.03,2.47,1.18,2.21
